[KVCache:finish remote send][RANK 3] remote_send time =0.027510881423950195,token_num=84
[KVCache:finish local move][RANK 3] local_shared time =0.008945703506469727,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.001504659652709961,token_num=6
[KVCache:finish remote send][RANK 3] remote_send time =0.0012640953063964844,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.0031998157501220703,token_num=9
[KVCache:finish local move][RANK 3] local_shared time =0.0047719478607177734,token_num=9
[KVCache:finish remote send][RANK 3] remote_send time =0.0022399425506591797,token_num=11
[KVCache:finish remote send][RANK 3] remote_send time =0.0016858577728271484,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.001474142074584961,token_num=15
[KVCache:finish remote send][RANK 3] remote_send time =0.0019130706787109375,token_num=15
[KVCache:finish remote send][RANK 3] remote_send time =0.0029685497283935547,token_num=49
[KVCache:finish remote send][RANK 3] remote_send time =0.0019140243530273438,token_num=49
[KVCache:finish remote send][RANK 3] remote_send time =0.00475311279296875,token_num=13
[KVCache:finish local move][RANK 3] local_shared time =0.0031440258026123047,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0043637752532958984,token_num=16
[KVCache:finish local move][RANK 3] local_shared time =0.0038824081420898438,token_num=16
[KVCache:finish remote send][RANK 3] remote_send time =0.0041294097900390625,token_num=12
[KVCache:finish remote send][RANK 3] remote_send time =0.005055427551269531,token_num=58
[KVCache:finish remote send][RANK 3] remote_send time =0.0027921199798583984,token_num=58
[KVCache:finish remote send][RANK 3] remote_send time =0.0027904510498046875,token_num=10
[KVCache:finish remote send][RANK 3] remote_send time =0.002020120620727539,token_num=16
[KVCache:finish local move][RANK 3] local_shared time =0.004344463348388672,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.00429224967956543,token_num=17
[KVCache:finish remote send][RANK 3] remote_send time =0.0026035308837890625,token_num=13
[KVCache:finish remote send][RANK 3] remote_send time =0.0021839141845703125,token_num=13
