send once time: 0.04162907600402832s,token_num:9, throughput: 0.006198744357790441 GB/s
send once time: 0.02476811408996582s,token_num:6, throughput: 0.006945704439794003 GB/s
send once time: 0.01831364631652832s,token_num:4, throughput: 0.006262433925923998 GB/s
send once time: 0.0470728874206543s,token_num:6, throughput: 0.003654587798336693 GB/s
send once time: 0.05063056945800781s,token_num:10, throughput: 0.005662981931060463 GB/s
send once time: 0.0063784122467041016s,token_num:6, throughput: 0.026970975431839423 GB/s
send once time: 0.02048182487487793s,token_num:10, throughput: 0.01399875263808537 GB/s
send once time: 0.03660321235656738s,token_num:6, throughput: 0.004699915360547142 GB/s
send once time: 0.018023252487182617s,token_num:4, throughput: 0.006363335368106356 GB/s
send once time: 0.019775390625s,token_num:19, throughput: 0.027547774419753087 GB/s
send once time: 0.04307436943054199s,token_num:8, throughput: 0.0053251156785909986 GB/s
send once time: 0.004282712936401367s,token_num:6, throughput: 0.040168930898402275 GB/s
send once time: 0.008604288101196289s,token_num:17, throughput: 0.05664896319920197 GB/s
send once time: 0.02764439582824707s,token_num:6, throughput: 0.006223033452017698 GB/s
send once time: 0.01790618896484375s,token_num:4, throughput: 0.006404936317000427 GB/s
send once time: 0.024053335189819336s,token_num:46, throughput: 0.05483281173241349 GB/s
send once time: 0.012172222137451172s,token_num:4, throughput: 0.009422108691816509 GB/s
send once time: 0.025375843048095703s,token_num:15, throughput: 0.01694840243080219 GB/s
send once time: 0.04505753517150879s,token_num:142, throughput: 0.09036055755163637 GB/s
