shared once time: 0.5222828388214111s,token_num:7599, throughput: 0.41716578031104173 GB/s
shared once time: 0.480499267578125s,token_num:6588, throughput: 0.39311430577630996 GB/s
shared once time: 0.5174403190612793s,token_num:8120, throughput: 0.4499391165001737 GB/s
shared once time: 0.4534296989440918s,token_num:6175, throughput: 0.39046758607188264 GB/s
shared once time: 0.5200479030609131s,token_num:7833, throughput: 0.4318597857584171 GB/s
shared once time: 0.5057222843170166s,token_num:7455, throughput: 0.4226623319331703 GB/s
shared once time: 0.5276117324829102s,token_num:7257, throughput: 0.39436709077870946 GB/s
shared once time: 0.4932441711425781s,token_num:7299, throughput: 0.42428667228893824 GB/s
shared once time: 0.49512624740600586s,token_num:7714, throughput: 0.4467058839210251 GB/s
shared once time: 0.46844482421875s,token_num:6588, throughput: 0.40323027651127036 GB/s
shared once time: 0.42928338050842285s,token_num:3743, throughput: 0.24999639136482787 GB/s
shared once time: 0.2566089630126953s,token_num:3562, throughput: 0.397997259335588 GB/s
shared once time: 0.2608950138092041s,token_num:3605, throughput: 0.39618449770600206 GB/s
shared once time: 0.26213908195495605s,token_num:3586, throughput: 0.392226108496357 GB/s
shared once time: 0.27660536766052246s,token_num:3407, throughput: 0.3531583816547238 GB/s
shared once time: 0.2391343116760254s,token_num:3296, throughput: 0.39518758867205445 GB/s
shared once time: 0.24886441230773926s,token_num:3124, throughput: 0.35992019577808665 GB/s
shared once time: 0.19397282600402832s,token_num:2745, throughput: 0.40575085501082253 GB/s
shared once time: 0.2925748825073242s,token_num:3781, throughput: 0.3705336256856777 GB/s
shared once time: 0.29439783096313477s,token_num:3814, throughput: 0.3714531715204577 GB/s
shared once time: 0.3002753257751465s,token_num:3249, throughput: 0.310233042823362 GB/s
shared once time: 0.2319960594177246s,token_num:3296, throughput: 0.4073470568301383 GB/s
shared once time: 0.32104921340942383s,token_num:4259, throughput: 0.38035928106845057 GB/s
shared once time: 0.30890583992004395s,token_num:4629, throughput: 0.4296541885849534 GB/s
shared once time: 0.21643495559692383s,token_num:2850, throughput: 0.3775508432758974 GB/s
shared once time: 0.25251317024230957s,token_num:3600, throughput: 0.4087675898288857 GB/s
shared once time: 0.21817469596862793s,token_num:3381, throughput: 0.44432298424717104 GB/s
shared once time: 0.2650337219238281s,token_num:3387, throughput: 0.36641399175577527 GB/s
shared once time: 0.30658745765686035s,token_num:4261, throughput: 0.3984878994519632 GB/s
shared once time: 0.2957301139831543s,token_num:2961, throughput: 0.2870786165687409 GB/s
shared once time: 0.43820881843566895s,token_num:3640, throughput: 0.2381651751613972 GB/s
shared once time: 0.2594153881072998s,token_num:3709, throughput: 0.40993885819916603 GB/s
shared once time: 0.2345130443572998s,token_num:3267, throughput: 0.3994294827254211 GB/s
shared once time: 0.2596292495727539s,token_num:3579, throughput: 0.39524471209952944 GB/s
shared once time: 0.2555570602416992s,token_num:3642, throughput: 0.40861099239926707 GB/s
shared once time: 0.22236371040344238s,token_num:3225, throughput: 0.4158376375004423 GB/s
shared once time: 0.25930118560791016s,token_num:3549, throughput: 0.3924275462198112 GB/s
shared once time: 0.2504260540008545s,token_num:3441, throughput: 0.39396999802450006 GB/s
shared once time: 0.2040119171142578s,token_num:3102, throughput: 0.435957591390058 GB/s
shared once time: 0.24797368049621582s,token_num:3511, throughput: 0.4059599865540417 GB/s
shared once time: 0.3967883586883545s,token_num:3919, throughput: 0.2831876629935461 GB/s
shared once time: 0.24739861488342285s,token_num:3369, throughput: 0.3904466807363378 GB/s
shared once time: 0.1975419521331787s,token_num:3143, throughput: 0.456187128996506 GB/s
shared once time: 0.2761693000793457s,token_num:4454, throughput: 0.462415945448351 GB/s
